# Uber Management System - Data File
# DRIVER: id,name,email,phone,licenseNo,rating,earnings,trips,vType,vMake,vModel,plate,year,status,warnings
# RIDER: id,name,email,phone,rating,payment,address,totalSpent
DRIVER,D002,[Member2 Name],member2@email.com,422222222,LIC-NSW-002,4.6,2970.00,74,SUV,Ford,Explorer,BBB002,2021,AVAILABLE,0
DRIVER,D003,[Member3 Name],member3@email.com,433333333,LIC-NSW-003,4.2,1950.75,51,Car,Honda,Civic,CCC003,2020,AVAILABLE,0
DRIVER,D004,[Member4 Name],member4@email.com,444444444,LIC-NSW-004,3.8,1200.00,33,Van,Toyota,HiAce,DDD004,2019,AVAILABLE,0
DRIVER,D005,[Member5 Name],member5@email.com,455555555,LIC-NSW-005,3.1,780.00,22,Car,Hyundai,i30,EEE005,2018,AVAILABLE,0
DRIVER,D006,Alex Thompson,alex.t@ubermail.com,466666666,LIC-NSW-006,4.8,4200.25,112,SUV,Kia,Sorento,FFF006,2023,AVAILABLE,0
DRIVER,D007,Priya Sharma,priya.s@ubermail.com,477777777,LIC-NSW-007,4.5,2750.00,69,Car,Mazda,CX-5,GGG007,2022,AVAILABLE,0
DRIVER,D008,Narendra Williams,narendra.w@ubermail.com,488888888,LIC-NSW-008,2.9,450.00,14,Car,Nissan,Pulsar,HHH008,2017,SUSPENDED,0
DRIVER,D009,Tiwari Chen,tiwari.c@ubermail.com,499999999,LIC-NSW-009,4.7,5310.00,143,Van,Mercedes,Sprinter,III009,2023,AVAILABLE,0
DRIVER,D010,Prasad Obrien,prasad.o@ubermail.com,412000001,LIC-NSW-010,4.3,1890.50,48,Car,Toyota,Corolla,JJJ010,2020,AVAILABLE,0
DRIVER,D011,Sangam Gurung,sangam@gmail.com,411668000,LIC-TEST-001,5.0,50.00,0,Car,BMW,M2,TEST001,2025,AVAILABLE,0
DRIVER,D015,Narendra Prasad Tiwari,nare@gmail.com,0400000000,LIC-NEW,5.0,0.00,0,Car,Toyota,Camry,NEW123,2024,AVAILABLE,0
DRIVER,naren,,,,,5.0,0.00,0,Car,,,,2024,AVAILABLE,0
RIDER,R010,naren tiwari,naren1@gmail.com,6578904356,5.0,CREDIT_CARD,No Address,0.00
